message,label
https://www.mitacsc.ac.in/,SAFE
"ऑफर 9960XXX091 साठी. आता रिचार्ज करा रु399 ने आणि मिळवा अनलिमिटेड कॉल, अनलिमिटेड 4G + 5G डाटा आणि 100 SMS/दिवस, 28 दिवसांपर्यंत. Recharge on Airtel Thanks App with ZERO CONVENIENCE FEE  i.airtel.in/AirRech",SPAM
"ऑफर 9960XXX091 साठी. आता रिचार्ज करा रु399 ने आणि मिळवा अनलिमिटेड कॉल, अनलिमिटेड 4G + 5G डाटा आणि 100 SMS/दिवस, 28 दिवसांपर्यंत. Recharge on Airtel Thanks App with ZERO CONVENIENCE FEE  i.airtel.in",SPAM
"Dear User,

You’ve earned Lifetime Free Kiwi UPI Credit Card (CC: JIOKIWI) on Jio Recharge. Claim now: https://t.jio/JIOCPN/SIyNA9 T&C*

JioCoupons",SPAM
"Congratulations!
Your 1-month JioHotstar subscription is now activated on Jio number 9209348807.
Please note, this subscription can be availed for up to 2 more months on your Jio number on recharging with eligible plans.
Log in to JioHotstar app with your Jio number and enjoy live cricket, movies, TV shows, and more!
You can also experience 50 days of free JioAirFiber as part of Jio Unlimited Offer! Call 60008-60008 or visit https://tiny.jio.com/jiounlimitedoffer to register your interest. T&C apply.
Happy watching!
Team Jio",SPAM
"Congratulations!
Your 1-month JioHotstar subscription is now activated on Jio number 9209348807.
Please note, this subscription can be availed for up to 2 more months on your Jio number on recharging with eligible plans.
Log in to JioHotstar app with your Jio number and enjoy live cricket, movies, TV shows, and more!
You can also experience 50 days of free JioAirFiber as part of Jio Unlimited Offer! Call 60008-60008 or visit https://tiny.jio.com/jiounlimitedoffer to register your interest. T&C apply.
Happy watching!
Team Jio",SPAM
"ऑफर 9960XXX091 साठी. आता रिचार्ज करा रु399 ने आणि मिळवा अनलिमिटेड कॉल, अनलिमिटेड 4G + 5G डाटा आणि 100 SMS/दिवस, 28 दिवसांपर्यंत. Recharge on Airtel Thanks App with ZERO CONVENIENCE FEE  i.airtel.in/AirRech",SAFE
"Congratulations!
Your 1-month JioHotstar subscription is now activated on Jio number 9209348807.
Please note, this subscription can be availed for up to 2 more months on your Jio number on recharging with eligible plans.
Log in to JioHotstar app with your Jio number and enjoy live cricket, movies, TV shows, and more!
You can also experience 50 days of free JioAirFiber as part of Jio Unlimited Offer! Call 60008-60008 or visit https://tiny.jio.com/jiounlimitedoffer to register your interest. T&C apply.
Happy watching!
Team Jio",SAFE
"50% OFF on Amazon Sale Today!
Shop now: amazon.in/sale",SAFE
"Google Drive file shared with you
https://bit.ly/3aX9sD",SPAM
"Login to update your account
https://amaz0n-support.com",SPAM
"Login to update your account
https://amaz0n-support.com",SPAM
"Login to update your account
https://amazon-support.com",SPAM
"Login to update your account
https://amazon-support.com",SPAM
"Your OTP is 482739
Share this OTP to activate reward",SPAM
"Microsoft hiring interns
Apply here: careers.microsoft.com",SPAM
"Microsoft hiring interns
Apply here: careers.microsoft.com",SPAM
"Your SBI account debit alert
Check details here: sbi.co.in",SPAM
"आपका OTP 482739 है
Do not share with anyone",SAFE
"Watch this video
youtube.com/watch?v=abc123",SAFE
